cell_type,flow,flow_drop,reachable_pairs,pairs_lost,intact_flow,intact_reachable_pairs
aPhM1,10625,22,236740,665,10647,237405
AN01B002,10625,22,237405,0,10647,237405
AN09B009,10625,22,237405,0,10647,237405
lLN2F_a,10625,22,237405,0,10647,237405
JO-A3,10626,21,236740,665,10647,237405
ORN_DL2v,10626,21,236740,665,10647,237405
ORN_VM6v,10626,21,236740,665,10647,237405
SNta05,10626,21,236740,665,10647,237405
SNta23,10626,21,236740,665,10647,237405
SNxx17,10626,21,236740,665,10647,237405
AN05B009,10626,21,237405,0,10647,237405
IN05B001,10626,21,237405,0,10647,237405
BM_vOcci_vPoOr,10627,20,236740,665,10647,237405
GNG644,10627,20,236740,665,10647,237405
LB1e,10627,20,236740,665,10647,237405
LgAG3,10627,20,236740,665,10647,237405
ORN_DL5,10627,20,236740,665,10647,237405
PhG1b,10627,20,236740,665,10647,237405
SNxx08,10627,20,236740,665,10647,237405
SNxx30,10627,20,236740,665,10647,237405
WG2,10627,20,236740,665,10647,237405
JO-B1_a,10628,19,236740,665,10647,237405
LB3a,10628,19,236740,665,10647,237405
LgAG5,10628,19,236740,665,10647,237405
LgAG7,10628,19,236740,665,10647,237405
ORN_DL2d,10628,19,236740,665,10647,237405
SNpp28,10628,19,236740,665,10647,237405
SNpp35,10628,19,236740,665,10647,237405
SNta13,10628,19,236740,665,10647,237405
aPhM4,10628,19,236740,665,10647,237405
ANXXX055,10628,19,237405,0,10647,237405
DNx01,10629,18,236740,665,10647,237405
LgAG2,10629,18,236740,665,10647,237405
ORN_VC1,10629,18,236740,665,10647,237405
ORN_VM7d,10629,18,236740,665,10647,237405
TRN_VP2,10629,18,236740,665,10647,237405
TRN_VP3a,10629,18,236740,665,10647,237405
aPhM2b,10629,18,236740,665,10647,237405
AN08B012,10629,18,237405,0,10647,237405
lLN2T_d,10629,18,237405,0,10647,237405
SNpp17,10630,17,236075,1330,10647,237405
JO-A1,10630,17,236740,665,10647,237405
LB3b,10630,17,236740,665,10647,237405
ORN_VA1v,10630,17,236740,665,10647,237405
ORN_VM5v,10630,17,236740,665,10647,237405
SNpp01,10630,17,236740,665,10647,237405
SNpp05,10630,17,236740,665,10647,237405
SNpp31,10630,17,236740,665,10647,237405
SNxx28,10630,17,236740,665,10647,237405
IN01B003,10630,17,237405,0,10647,237405
