strategy,trial,batch,fraction_removed,flow,reachable_pairs,avalanche
sm_betweenness,0,50,0.396817,28,27,0
sm_betweenness,0,51,0.402859,28,27,3
sm_betweenness,0,52,0.408901,28,27,0
sm_betweenness,0,53,0.414858,28,27,0
sm_betweenness,0,54,0.42073,26,25,2
sm_betweenness,0,55,0.426602,25,24,0
sm_betweenness,0,56,0.432389,25,24,0
sm_betweenness,0,57,0.43809,25,24,1
sm_betweenness,0,58,0.443792,23,22,1
sm_betweenness,0,59,0.449409,23,22,0
sm_betweenness,0,60,0.45494,23,22,7
sm_betweenness,0,61,0.460471,23,22,0
sm_betweenness,0,62,0.465918,23,22,0
sm_betweenness,0,63,0.471279,23,22,4
sm_betweenness,0,64,0.47664,23,22,4
sm_betweenness,0,65,0.481916,22,21,2
sm_betweenness,0,66,0.487107,22,21,0
sm_betweenness,0,67,0.492299,22,21,6
sm_betweenness,0,68,0.497404,22,21,1
sm_betweenness,0,69,0.50251,22,21,0
pagerank,0,0,0,10647,237405,
pagerank,0,1,0.0100417,10453,222585,0
pagerank,0,2,0.0199983,10099,212355,0
pagerank,0,3,0.0298698,9815,201825,0
pagerank,0,4,0.0395711,9643,192665,0
pagerank,0,5,0.0491873,9219,182317,0
pagerank,0,6,0.0587184,8702,173530,0
pagerank,0,7,0.0681644,8403,168002,0
pagerank,0,8,0.0775253,8107,163836,0
pagerank,0,9,0.0868011,7847,159507,0
pagerank,0,10,0.0959918,7513,153716,1
pagerank,0,11,0.105097,7256,150396,0
pagerank,0,12,0.114118,6878,143756,0
pagerank,0,13,0.123053,6629,140436,0
pagerank,0,14,0.131904,6499,139440,0
pagerank,0,15,0.140669,6383,137365,0
pagerank,0,16,0.149264,6258,135379,1
pagerank,0,17,0.157774,6032,131600,0
pagerank,0,18,0.166199,5846,127920,1
pagerank,0,19,0.174538,5659,125296,0
pagerank,0,20,0.182793,5453,122672,0
pagerank,0,21,0.191048,5224,119064,1
pagerank,0,22,0.199217,4970,115128,0
pagerank,0,23,0.207302,4727,110526,0
pagerank,0,24,0.215301,4491,106602,0
pagerank,0,25,0.223215,4338,103668,1
pagerank,0,26,0.231044,4202,101712,0
pagerank,0,27,0.238788,4052,99430,0
pagerank,0,28,0.246447,3944,97500,0
pagerank,0,29,0.254021,3797,94608,4
pagerank,0,30,0.26151,3683,92664,0
pagerank,0,31,0.268913,3574,91409,1
pagerank,0,32,0.276232,3415,88825,0
pagerank,0,33,0.28355,3301,86618,0
pagerank,0,34,0.290784,3239,85652,0
pagerank,0,35,0.297932,3148,84744,0
pagerank,0,36,0.304995,3059,82818,0
pagerank,0,37,0.311973,2969,80892,0
pagerank,0,38,0.318866,2891,80250,0
pagerank,0,39,0.32576,2808,78966,0
pagerank,0,40,0.332567,2717,77040,1
pagerank,0,41,0.33929,2639,75284,0
pagerank,0,42,0.345928,2617,74965,0
pagerank,0,43,0.352481,2597,74646,1
pagerank,0,44,0.359033,2558,73689,1
pagerank,0,45,0.365501,2459,71550,0
pagerank,0,46,0.371883,2398,70152,0
pagerank,0,47,0.378181,2359,69520,0
pagerank,0,48,0.384478,2267,67725,0
pagerank,0,49,0.39069,2205,67095,0
pagerank,0,50,0.396817,2185,67095,1
pagerank,0,51,0.402859,2137,65940,0
pagerank,0,52,0.408901,2078,64056,8
pagerank,0,53,0.414858,2052,63428,0
pagerank,0,54,0.42073,2023,63114,1
pagerank,0,55,0.426602,1948,61035,1
pagerank,0,56,0.432389,1867,58900,0
pagerank,0,57,0.43809,1824,58590,1
pagerank,0,58,0.443792,1783,57660,0
pagerank,0,59,0.449409,1766,57660,1
