cell_type,superclass,role,pairs_lost,own_pairs,other_pairs,sensory_types_cut,motor_types_cut
DNg82,descending_neuron,motor,357,357,0,0,0
DNg83,descending_neuron,motor,357,357,0,0,0
DNg84,descending_neuron,motor,357,357,0,0,0
DNg85,descending_neuron,motor,357,357,0,0,0
DNg86,descending_neuron,motor,357,357,0,0,0
DNg87,descending_neuron,motor,357,357,0,0,0
DNg88,descending_neuron,motor,357,357,0,0,0
DNg89,descending_neuron,motor,357,357,0,0,0
DNg90,descending_neuron,motor,357,357,0,0,0
DNg91,descending_neuron,motor,357,357,0,0,0
DNg92_a,descending_neuron,motor,357,357,0,0,0
DNg92_b,descending_neuron,motor,357,357,0,0,0
DNg93,descending_neuron,motor,357,357,0,0,0
DNg94,descending_neuron,motor,357,357,0,0,0
DNg95,descending_neuron,motor,357,357,0,0,0
DNg96,descending_neuron,motor,357,357,0,0,0
DNg97,descending_neuron,motor,357,357,0,0,0
DNg98,descending_neuron,motor,357,357,0,0,0
DNg99,descending_neuron,motor,357,357,0,0,0
DNge001,descending_neuron,motor,357,357,0,0,0
DNge002,descending_neuron,motor,357,357,0,0,0
DNge003,descending_neuron,motor,357,357,0,0,0
DNge004,descending_neuron,motor,357,357,0,0,0
DNge006,descending_neuron,motor,357,357,0,0,0
DNge007,descending_neuron,motor,357,357,0,0,0
DNge008,descending_neuron,motor,357,357,0,0,0
DNge009,descending_neuron,motor,357,357,0,0,0
DNge010,descending_neuron,motor,357,357,0,0,0
DNge011,descending_neuron,motor,357,357,0,0,0
DNge012,descending_neuron,motor,357,357,0,0,0
DNge013,descending_neuron,motor,357,357,0,0,0
DNge014,descending_neuron,motor,357,357,0,0,0
DNge015,descending_neuron,motor,357,357,0,0,0
DNge016,descending_neuron,motor,357,357,0,0,0
DNge017,descending_neuron,motor,357,357,0,0,0
DNge018,descending_neuron,motor,357,357,0,0,0
DNge019,descending_neuron,motor,357,357,0,0,0
DNge020,descending_neuron,motor,357,357,0,0,0
DNge021,descending_neuron,motor,357,357,0,0,0
DNge022,descending_neuron,motor,357,357,0,0,0
DNge023,descending_neuron,motor,357,357,0,0,0
DNge024,descending_neuron,motor,357,357,0,0,0
DNge025,descending_neuron,motor,357,357,0,0,0
DNge026,descending_neuron,motor,357,357,0,0,0
DNge027,descending_neuron,motor,357,357,0,0,0
DNge028,descending_neuron,motor,357,357,0,0,0
DNge029,descending_neuron,motor,357,357,0,0,0
DNge030,descending_neuron,motor,357,357,0,0,0
DNge031,descending_neuron,motor,357,357,0,0,0
DNge032,descending_neuron,motor,357,357,0,0,0
DNge033,descending_neuron,motor,357,357,0,0,0
DNge034,descending_neuron,motor,357,357,0,0,0
DNge035,descending_neuron,motor,357,357,0,0,0
DNge036,descending_neuron,motor,357,357,0,0,0
DNge037,descending_neuron,motor,357,357,0,0,0
DNge038,descending_neuron,motor,357,357,0,0,0
DNge039,descending_neuron,motor,357,357,0,0,0
DNge040,descending_neuron,motor,357,357,0,0,0
DNge041,descending_neuron,motor,357,357,0,0,0
DNge042,descending_neuron,motor,357,357,0,0,0
DNge043,descending_neuron,motor,357,357,0,0,0
DNge044,descending_neuron,motor,357,357,0,0,0
DNge045,descending_neuron,motor,357,357,0,0,0
DNge046,descending_neuron,motor,357,357,0,0,0
DNge047,descending_neuron,motor,357,357,0,0,0
DNge048,descending_neuron,motor,357,357,0,0,0
DNge049,descending_neuron,motor,357,357,0,0,0
DNge050,descending_neuron,motor,357,357,0,0,0
DNge051,descending_neuron,motor,357,357,0,0,0
DNge052,descending_neuron,motor,357,357,0,0,0
DNge053,descending_neuron,motor,357,357,0,0,0
DNge054,descending_neuron,motor,357,357,0,0,0
DNge055,descending_neuron,motor,357,357,0,0,0
DNge056,descending_neuron,motor,357,357,0,0,0
DNge057,descending_neuron,motor,357,357,0,0,0
DNge058,descending_neuron,motor,357,357,0,0,0
DNge059,descending_neuron,motor,357,357,0,0,0
DNge060,descending_neuron,motor,357,357,0,0,0
DNge061,descending_neuron,motor,357,357,0,0,0
DNge062,descending_neuron,motor,357,357,0,0,0
DNge063,descending_neuron,motor,357,357,0,0,0
DNge064,descending_neuron,motor,357,357,0,0,0
DNge065,descending_neuron,motor,357,357,0,0,0
DNge067,descending_neuron,motor,357,357,0,0,0
DNge068,descending_neuron,motor,357,357,0,0,0
DNge069,descending_neuron,motor,357,357,0,0,0
DNge070,descending_neuron,motor,357,357,0,0,0
DNge071,descending_neuron,motor,357,357,0,0,0
DNge072,descending_neuron,motor,357,357,0,0,0
DNge073,descending_neuron,motor,357,357,0,0,0
DNge074,descending_neuron,motor,357,357,0,0,0
DNge075,descending_neuron,motor,357,357,0,0,0
DNge076,descending_neuron,motor,357,357,0,0,0
DNge077,descending_neuron,motor,357,357,0,0,0
DNge078,descending_neuron,motor,357,357,0,0,0
DNge079,descending_neuron,motor,357,357,0,0,0
DNge080,descending_neuron,motor,357,357,0,0,0
DNge081,descending_neuron,motor,357,357,0,0,0
DNge082,descending_neuron,motor,357,357,0,0,0
DNge083,descending_neuron,motor,357,357,0,0,0
DNge084,descending_neuron,motor,357,357,0,0,0
DNge085,descending_neuron,motor,357,357,0,0,0
DNge086,descending_neuron,motor,357,357,0,0,0
DNge087,descending_neuron,motor,357,357,0,0,0
DNge088,descending_neuron,motor,357,357,0,0,0
DNge089,descending_neuron,motor,357,357,0,0,0
DNge090,descending_neuron,motor,357,357,0,0,0
DNge091,descending_neuron,motor,357,357,0,0,0
DNge092,descending_neuron,motor,357,357,0,0,0
DNge093,descending_neuron,motor,357,357,0,0,0
DNge094,descending_neuron,motor,357,357,0,0,0
DNge095,descending_neuron,motor,357,357,0,0,0
DNge096,descending_neuron,motor,357,357,0,0,0
DNge097,descending_neuron,motor,357,357,0,0,0
DNge098,descending_neuron,motor,357,357,0,0,0
DNge099,descending_neuron,motor,357,357,0,0,0
DNge100,descending_neuron,motor,357,357,0,0,0
DNge101,descending_neuron,motor,357,357,0,0,0
DNge102,descending_neuron,motor,357,357,0,0,0
DNge103,descending_neuron,motor,357,357,0,0,0
DNge104,descending_neuron,motor,357,357,0,0,0
DNge105,descending_neuron,motor,357,357,0,0,0
DNge106,descending_neuron,motor,357,357,0,0,0
DNge107,descending_neuron,motor,357,357,0,0,0
DNge108,descending_neuron,motor,357,357,0,0,0
DNge110,descending_neuron,motor,357,357,0,0,0
DNge111,descending_neuron,motor,357,357,0,0,0
DNge113,descending_neuron,motor,357,357,0,0,0
DNge114,descending_neuron,motor,357,357,0,0,0
DNge115,descending_neuron,motor,357,357,0,0,0
DNge116,descending_neuron,motor,357,357,0,0,0
DNge117,descending_neuron,motor,357,357,0,0,0
DNge119,descending_neuron,motor,357,357,0,0,0
DNge120,descending_neuron,motor,357,357,0,0,0
DNge121,descending_neuron,motor,357,357,0,0,0
DNge122,descending_neuron,motor,357,357,0,0,0
DNge123,descending_neuron,motor,357,357,0,0,0
DNge124,descending_neuron,motor,357,357,0,0,0
DNge125,descending_neuron,motor,357,357,0,0,0
DNge126,descending_neuron,motor,357,357,0,0,0
DNge127,descending_neuron,motor,357,357,0,0,0
DNge128,descending_neuron,motor,357,357,0,0,0
DNge129,descending_neuron,motor,357,357,0,0,0
DNge130,descending_neuron,motor,357,357,0,0,0
DNge131,descending_neuron,motor,357,357,0,0,0
DNge132,descending_neuron,motor,357,357,0,0,0
DNge133,descending_neuron,motor,357,357,0,0,0
DNge134,descending_neuron,motor,357,357,0,0,0
DNge135,descending_neuron,motor,357,357,0,0,0
DNge136,descending_neuron,motor,357,357,0,0,0
DNge137,descending_neuron,motor,357,357,0,0,0
DNge138,descending_neuron,motor,357,357,0,0,0
DNge139,descending_neuron,motor,357,357,0,0,0
DNge140,descending_neuron,motor,357,357,0,0,0
DNge141,descending_neuron,motor,357,357,0,0,0
DNge142,descending_neuron,motor,357,357,0,0,0
DNge143,descending_neuron,motor,357,357,0,0,0
DNge144,descending_neuron,motor,357,357,0,0,0
DNge145,descending_neuron,motor,357,357,0,0,0
DNge146,descending_neuron,motor,357,357,0,0,0
DNge147,descending_neuron,motor,357,357,0,0,0
DNge148,descending_neuron,motor,357,357,0,0,0
DNge149,descending_neuron,motor,357,357,0,0,0
DNge150,descending_neuron,motor,357,357,0,0,0
DNge151,descending_neuron,motor,357,357,0,0,0
DNge152,descending_neuron,motor,357,357,0,0,0
DNge153,descending_neuron,motor,357,357,0,0,0
DNge154,descending_neuron,motor,357,357,0,0,0
DNge172,descending_neuron,motor,357,357,0,0,0
DNge173,descending_neuron,motor,357,357,0,0,0
DNge174,descending_neuron,motor,357,357,0,0,0
DNge175,descending_neuron,motor,357,357,0,0,0
DNge176,descending_neuron,motor,357,357,0,0,0
DNge178,descending_neuron,motor,357,357,0,0,0
DNge179,descending_neuron,motor,357,357,0,0,0
DNge180,descending_neuron,motor,357,357,0,0,0
DNge181,descending_neuron,motor,357,357,0,0,0
DNge182,descending_neuron,motor,357,357,0,0,0
DNge183,descending_neuron,motor,357,357,0,0,0
DNge184,descending_neuron,motor,357,357,0,0,0
DNp01,descending_neuron,motor,357,357,0,0,0
DNp02,descending_neuron,motor,357,357,0,0,0
DNp03,descending_neuron,motor,357,357,0,0,0
DNp04,descending_neuron,motor,357,357,0,0,0
DNp05,descending_neuron,motor,357,357,0,0,0
DNp06,descending_neuron,motor,357,357,0,0,0
DNp07,descending_neuron,motor,357,357,0,0,0
DNp08,descending_neuron,motor,357,357,0,0,0
DNp09,descending_neuron,motor,357,357,0,0,0
DNp10,descending_neuron,motor,357,357,0,0,0
DNp101,descending_neuron,motor,357,357,0,0,0
DNp102,descending_neuron,motor,357,357,0,0,0
DNp103,descending_neuron,motor,357,357,0,0,0
DNp104,descending_neuron,motor,357,357,0,0,0
DNp11,descending_neuron,motor,357,357,0,0,0
DNp12,descending_neuron,motor,357,357,0,0,0
DNp13,descending_neuron,motor,357,357,0,0,0
DNp14,descending_neuron,motor,357,357,0,0,0
DNp15,descending_neuron,motor,357,357,0,0,0
DNp16_a,descending_neuron,motor,357,357,0,0,0
DNp16_b,descending_neuron,motor,357,357,0,0,0
DNp17,descending_neuron,motor,357,357,0,0,0
DNp18,descending_neuron,motor,357,357,0,0,0
DNp19,descending_neuron,motor,357,357,0,0,0
DNp20,descending_neuron,motor,357,357,0,0,0
DNp21,descending_neuron,motor,357,357,0,0,0
DNp22,descending_neuron,motor,357,357,0,0,0
DNp23,descending_neuron,motor,357,357,0,0,0
DNp24,descending_neuron,motor,357,357,0,0,0
DNp25,descending_neuron,motor,357,357,0,0,0
DNp26,descending_neuron,motor,357,357,0,0,0
DNp27,descending_neuron,motor,357,357,0,0,0
DNp28,descending_neuron,motor,357,357,0,0,0
DNp29,descending_neuron,motor,357,357,0,0,0
DNp30,descending_neuron,motor,357,357,0,0,0
DNp31,descending_neuron,motor,357,357,0,0,0
DNp32,descending_neuron,motor,357,357,0,0,0
DNp33,descending_neuron,motor,357,357,0,0,0
DNp34,descending_neuron,motor,357,357,0,0,0
DNp35,descending_neuron,motor,357,357,0,0,0
DNp36,descending_neuron,motor,357,357,0,0,0
DNp38,descending_neuron,motor,357,357,0,0,0
DNp39,descending_neuron,motor,357,357,0,0,0
DNp41,descending_neuron,motor,357,357,0,0,0
DNp42,descending_neuron,motor,357,357,0,0,0
DNp43,descending_neuron,motor,357,357,0,0,0
DNp44,descending_neuron,motor,357,357,0,0,0
DNp45,descending_neuron,motor,357,357,0,0,0
DNp46,descending_neuron,motor,357,357,0,0,0
DNp47,descending_neuron,motor,357,357,0,0,0
DNp48,descending_neuron,motor,357,357,0,0,0
DNp49,descending_neuron,motor,357,357,0,0,0
"DNp51,DNpe019",descending_neuron,motor,357,357,0,0,0
DNp52,descending_neuron,motor,357,357,0,0,0
DNp53,descending_neuron,motor,357,357,0,0,0
DNp54,descending_neuron,motor,357,357,0,0,0
DNp55,descending_neuron,motor,357,357,0,0,0
DNp56,descending_neuron,motor,357,357,0,0,0
DNp57,descending_neuron,motor,357,357,0,0,0
DNp58,descending_neuron,motor,357,357,0,0,0
DNp59,descending_neuron,motor,357,357,0,0,0
DNp60,descending_neuron,motor,357,357,0,0,0
DNp62,descending_neuron,motor,357,357,0,0,0
DNp63,descending_neuron,motor,357,357,0,0,0
DNp64,descending_neuron,motor,357,357,0,0,0
DNp65,descending_neuron,motor,357,357,0,0,0
DNp66,descending_neuron,motor,357,357,0,0,0
DNp67,descending_neuron,motor,357,357,0,0,0
DNp68,descending_neuron,motor,357,357,0,0,0
DNp69,descending_neuron,motor,357,357,0,0,0
DNp70,descending_neuron,motor,357,357,0,0,0
DNp71,descending_neuron,motor,357,357,0,0,0
DNp72,descending_neuron,motor,357,357,0,0,0
DNp73,descending_neuron,motor,357,357,0,0,0
DNpe001,descending_neuron,motor,357,357,0,0,0
DNpe002,descending_neuron,motor,357,357,0,0,0
DNpe003,descending_neuron,motor,357,357,0,0,0
DNpe004,descending_neuron,motor,357,357,0,0,0
DNpe005,descending_neuron,motor,357,357,0,0,0
DNpe006,descending_neuron,motor,357,357,0,0,0
DNpe007,descending_neuron,motor,357,357,0,0,0
DNpe008,descending_neuron,motor,357,357,0,0,0
DNpe009,descending_neuron,motor,357,357,0,0,0
DNpe010,descending_neuron,motor,357,357,0,0,0
DNpe011,descending_neuron,motor,357,357,0,0,0
DNpe012_a,descending_neuron,motor,357,357,0,0,0
DNpe012_b,descending_neuron,motor,357,357,0,0,0
DNpe013,descending_neuron,motor,357,357,0,0,0
DNpe014,descending_neuron,motor,357,357,0,0,0
DNpe015,descending_neuron,motor,357,357,0,0,0
DNpe016,descending_neuron,motor,357,357,0,0,0
DNpe017,descending_neuron,motor,357,357,0,0,0
DNpe018,descending_neuron,motor,357,357,0,0,0
DNpe020,descending_neuron,motor,357,357,0,0,0
DNpe021,descending_neuron,motor,357,357,0,0,0
DNpe022,descending_neuron,motor,357,357,0,0,0
DNpe023,descending_neuron,motor,357,357,0,0,0
DNpe024,descending_neuron,motor,357,357,0,0,0
DNpe025,descending_neuron,motor,357,357,0,0,0
DNpe026,descending_neuron,motor,357,357,0,0,0
DNpe027,descending_neuron,motor,357,357,0,0,0
DNpe028,descending_neuron,motor,357,357,0,0,0
DNpe029,descending_neuron,motor,357,357,0,0,0
DNpe030,descending_neuron,motor,357,357,0,0,0
DNpe031,descending_neuron,motor,357,357,0,0,0
DNpe032,descending_neuron,motor,357,357,0,0,0
DNpe033,descending_neuron,motor,357,357,0,0,0
DNpe034,descending_neuron,motor,357,357,0,0,0
DNpe035,descending_neuron,motor,357,357,0,0,0
DNpe036,descending_neuron,motor,357,357,0,0,0
DNpe037,descending_neuron,motor,357,357,0,0,0
DNpe039,descending_neuron,motor,357,357,0,0,0
DNpe040,descending_neuron,motor,357,357,0,0,0
DNpe041,descending_neuron,motor,357,357,0,0,0
DNpe042,descending_neuron,motor,357,357,0,0,0
DNpe043,descending_neuron,motor,357,357,0,0,0
DNpe045,descending_neuron,motor,357,357,0,0,0
DNpe048,descending_neuron,motor,357,357,0,0,0
DNpe049,descending_neuron,motor,357,357,0,0,0
DNpe050,descending_neuron,motor,357,357,0,0,0
DNpe052,descending_neuron,motor,357,357,0,0,0
DNpe053,descending_neuron,motor,357,357,0,0,0
DNpe054,descending_neuron,motor,357,357,0,0,0
DNpe055,descending_neuron,motor,357,357,0,0,0
DNpe056,descending_neuron,motor,357,357,0,0,0
DNpe057,descending_neuron,motor,357,357,0,0,0
DNxl114,descending_neuron,motor,357,357,0,0,0
DVMn 1a-c,vnc_motor,motor,357,357,0,0,0
"DVMn 2a, b",vnc_motor,motor,357,357,0,0,0
"DVMn 3a, b",vnc_motor,motor,357,357,0,0,0
FNM2,vnc_motor,motor,357,357,0,0,0
Fe reductor MN,vnc_motor,motor,357,357,0,0,0
GNG133,cb_motor,motor,357,357,0,0,0
GNG276,cb_motor,motor,357,357,0,0,0
GNG283,cb_motor,motor,357,357,0,0,0
GNG314,cb_motor,motor,357,357,0,0,0
GNG641,cb_motor,motor,357,357,0,0,0
GNG647,cb_motor,motor,357,357,0,0,0
GNG648,cb_motor,motor,357,357,0,0,0
GNG649,cb_motor,motor,357,357,0,0,0
GNG650,cb_motor,motor,357,357,0,0,0
GNG651,cb_motor,motor,357,357,0,0,0
GNG652,cb_motor,motor,357,357,0,0,0
GNG653,cb_motor,motor,357,357,0,0,0
GNG668,cb_motor,motor,357,357,0,0,0
MDN,descending_neuron,motor,357,357,0,0,0
MN1,cb_motor,motor,357,357,0,0,0
MN10,cb_motor,motor,357,357,0,0,0
MN11D,cb_motor,motor,357,357,0,0,0
MN11V,cb_motor,motor,357,357,0,0,0
MN12D,cb_motor,motor,357,357,0,0,0
MN13,cb_motor,motor,357,357,0,0,0
MN2Da,cb_motor,motor,357,357,0,0,0
MN2Db,cb_motor,motor,357,357,0,0,0
MN2V,cb_motor,motor,357,357,0,0,0
MN3L,cb_motor,motor,357,357,0,0,0
MN3M,cb_motor,motor,357,357,0,0,0
MN4a,cb_motor,motor,357,357,0,0,0
MN4b,cb_motor,motor,357,357,0,0,0
MN5,cb_motor,motor,357,357,0,0,0
MN6,cb_motor,motor,357,357,0,0,0
MN7,cb_motor,motor,357,357,0,0,0
MN8,cb_motor,motor,357,357,0,0,0
MN9,cb_motor,motor,357,357,0,0,0
MNad01,vnc_motor,motor,357,357,0,0,0
MNad02,vnc_motor,motor,357,357,0,0,0
MNad03,vnc_motor,motor,357,357,0,0,0
"MNad04,MNad48",vnc_motor,motor,357,357,0,0,0
MNad05,vnc_motor,motor,357,357,0,0,0
MNad06,vnc_motor,motor,357,357,0,0,0
MNad07,vnc_motor,motor,357,357,0,0,0
MNad08,vnc_motor,motor,357,357,0,0,0
MNad09,vnc_motor,motor,357,357,0,0,0
MNad10,vnc_motor,motor,357,357,0,0,0
MNad11,vnc_motor,motor,357,357,0,0,0
MNad12,vnc_motor,motor,357,357,0,0,0
MNad14,vnc_motor,motor,357,357,0,0,0
MNad15,vnc_motor,motor,357,357,0,0,0
MNad16,vnc_motor,motor,357,357,0,0,0
MNad17,vnc_motor,motor,357,357,0,0,0
"MNad18,MNad27",vnc_motor,motor,357,357,0,0,0
MNad19,vnc_motor,motor,357,357,0,0,0
MNad20,vnc_motor,motor,357,357,0,0,0
MNad21,vnc_motor,motor,357,357,0,0,0
MNad22,vnc_motor,motor,357,357,0,0,0
MNad23,vnc_motor,motor,357,357,0,0,0
MNad24,vnc_motor,motor,357,357,0,0,0
MNad25,vnc_motor,motor,357,357,0,0,0
MNad26,vnc_motor,motor,357,357,0,0,0
MNad28,vnc_motor,motor,357,357,0,0,0
MNad29,vnc_motor,motor,357,357,0,0,0
MNad30,vnc_motor,motor,357,357,0,0,0
MNad31,vnc_motor,motor,357,357,0,0,0
MNad32,vnc_motor,motor,357,357,0,0,0
MNad33,vnc_motor,motor,357,357,0,0,0
MNad34,vnc_motor,motor,357,357,0,0,0
MNad35,vnc_motor,motor,357,357,0,0,0
MNad36,vnc_motor,motor,357,357,0,0,0
MNad40,vnc_motor,motor,357,357,0,0,0
MNad41,vnc_motor,motor,357,357,0,0,0
MNad42,vnc_motor,motor,357,357,0,0,0
MNad43,vnc_motor,motor,357,357,0,0,0
MNad44,vnc_motor,motor,357,357,0,0,0
MNad45,vnc_motor,motor,357,357,0,0,0
MNad46,vnc_motor,motor,357,357,0,0,0
MNad47,vnc_motor,motor,357,357,0,0,0
MNad49,vnc_motor,motor,357,357,0,0,0
MNad50,vnc_motor,motor,357,357,0,0,0
MNad53,vnc_motor,motor,357,357,0,0,0
MNad54,vnc_motor,motor,357,357,0,0,0
MNad55,vnc_motor,motor,357,357,0,0,0
MNad56,vnc_motor,motor,357,357,0,0,0
MNad57,vnc_motor,motor,357,357,0,0,0
MNad61,vnc_motor,motor,357,357,0,0,0
MNad62,vnc_motor,motor,357,357,0,0,0
MNad63,vnc_motor,motor,357,357,0,0,0
MNad64,vnc_motor,motor,357,357,0,0,0
MNad65,vnc_motor,motor,357,357,0,0,0
MNad66,vnc_motor,motor,357,357,0,0,0
MNad67,vnc_motor,motor,357,357,0,0,0
MNad68,vnc_motor,motor,357,357,0,0,0
MNad69,vnc_motor,motor,357,357,0,0,0
MNhl01,vnc_motor,motor,357,357,0,0,0
MNhl02,vnc_motor,motor,357,357,0,0,0
MNhl29,vnc_motor,motor,357,357,0,0,0
MNhl59,vnc_motor,motor,357,357,0,0,0
MNhl60,vnc_motor,motor,357,357,0,0,0
MNhl62,vnc_motor,motor,357,357,0,0,0
MNhl64,vnc_motor,motor,357,357,0,0,0
MNhl65,vnc_motor,motor,357,357,0,0,0
MNhl87,vnc_motor,motor,357,357,0,0,0
MNhl88,vnc_motor,motor,357,357,0,0,0
MNhm03,vnc_motor,motor,357,357,0,0,0
MNhm42,vnc_motor,motor,357,357,0,0,0
MNhm43,vnc_motor,motor,357,357,0,0,0
MNml29,vnc_motor,motor,357,357,0,0,0
MNml76,vnc_motor,motor,357,357,0,0,0
MNml77,vnc_motor,motor,357,357,0,0,0
MNml78,vnc_motor,motor,357,357,0,0,0
MNml79,vnc_motor,motor,357,357,0,0,0
MNml80,vnc_motor,motor,357,357,0,0,0
MNml81,vnc_motor,motor,357,357,0,0,0
MNml82,vnc_motor,motor,357,357,0,0,0
MNml83,vnc_motor,motor,357,357,0,0,0
MNnm03,vnc_motor,motor,357,357,0,0,0
"MNnm07,MNnm12",vnc_motor,motor,357,357,0,0,0
MNnm08,vnc_motor,motor,357,357,0,0,0
MNnm09,vnc_motor,motor,357,357,0,0,0
MNnm10,vnc_motor,motor,357,357,0,0,0
MNnm11,vnc_motor,motor,357,357,0,0,0
MNnm13,vnc_motor,motor,357,357,0,0,0
MNnm14,vnc_motor,motor,357,357,0,0,0
MNwm35,vnc_motor,motor,357,357,0,0,0
MNwm36,vnc_motor,motor,357,357,0,0,0
MNx01,cb_motor,motor,357,357,0,0,0
MNx02,cb_motor,motor,357,357,0,0,0
MNx03,cb_motor,motor,357,357,0,0,0
MNx04,cb_motor,motor,357,357,0,0,0
MNx05,cb_motor,motor,357,357,0,0,0
MNxm01,vnc_motor,motor,357,357,0,0,0
MNxm02,vnc_motor,motor,357,357,0,0,0
MNxm03,vnc_motor,motor,357,357,0,0,0
PS348,cb_motor,motor,357,357,0,0,0
PS349,cb_motor,motor,357,357,0,0,0
Pleural remotor/abductor MN,vnc_motor,motor,357,357,0,0,0
STTMm,vnc_motor,motor,357,357,0,0,0
Sternal adductor MN,vnc_motor,motor,357,357,0,0,0
Sternal anterior rotator MN,vnc_motor,motor,357,357,0,0,0
Sternal posterior rotator MN,vnc_motor,motor,357,357,0,0,0
Sternotrochanter MN,vnc_motor,motor,357,357,0,0,0
TTMn,vnc_motor,motor,357,357,0,0,0
Ta depressor MN,vnc_motor,motor,357,357,0,0,0
Ta levator MN,vnc_motor,motor,357,357,0,0,0
Tergopleural/Pleural promotor MN,vnc_motor,motor,357,357,0,0,0
Tergotr. MN,vnc_motor,motor,357,357,0,0,0
Ti extensor MN,vnc_motor,motor,357,357,0,0,0
Ti flexor MN,vnc_motor,motor,357,357,0,0,0
Tr extensor MN,vnc_motor,motor,357,357,0,0,0
Tr flexor MN,vnc_motor,motor,357,357,0,0,0
aSP22,descending_neuron,motor,357,357,0,0,0
b1 MN,vnc_motor,motor,357,357,0,0,0
b2 MN,vnc_motor,motor,357,357,0,0,0
b3 MN,vnc_motor,motor,357,357,0,0,0
hDVM MN,vnc_motor,motor,357,357,0,0,0
hg1 MN,vnc_motor,motor,357,357,0,0,0
hg2 MN,vnc_motor,motor,357,357,0,0,0
hg3 MN,vnc_motor,motor,357,357,0,0,0
hg4 MN,vnc_motor,motor,357,357,0,0,0
hi1 MN,vnc_motor,motor,357,357,0,0,0
hi2 MN,vnc_motor,motor,357,357,0,0,0
hiii2 MN,vnc_motor,motor,357,357,0,0,0
i1 MN,vnc_motor,motor,357,357,0,0,0
i2 MN,vnc_motor,motor,357,357,0,0,0
iii1 MN,vnc_motor,motor,357,357,0,0,0
iii3 MN,vnc_motor,motor,357,357,0,0,0
ltm MN,vnc_motor,motor,357,357,0,0,0
ltm1-tibia MN,vnc_motor,motor,357,357,0,0,0
ltm2-femur MN,vnc_motor,motor,357,357,0,0,0
pIP1,descending_neuron,motor,357,357,0,0,0
pIP10,descending_neuron,motor,357,357,0,0,0
pMP2,descending_neuron,motor,357,357,0,0,0
ps1 MN,vnc_motor,motor,357,357,0,0,0
ps2 MN,vnc_motor,motor,357,357,0,0,0
tp1 MN,vnc_motor,motor,357,357,0,0,0
tp2 MN,vnc_motor,motor,357,357,0,0,0
tpn MN,vnc_motor,motor,357,357,0,0,0
